brand_title,women_style,women_price,women_segment
Enterprise Japan,contemporary-fashion,medium,contemporary-fashion_medium
Eric Javits,classic,high,classic_high
Erika Cavallini,contemporary,high,contemporary_high
Ermanno Scervino,classic,high,classic_high
Escada,contemporary,low,contemporary_low
Études,contemporary,medium,contemporary_medium
Extreme Cashmere,contemporary,medium,contemporary_medium
Fendi,contemporary,high+,contemporary_high+
Filles A Papa,other,other,other
Fisico,contemporary,high,contemporary_high
Flower Mountain,contemporary,medium,contemporary_medium
Forte Dei Marmi Couture,contemporary,high,contemporary_high
Forte_forte,contemporary,high,contemporary_high
Frame Denim,contemporary,high,contemporary_high
Francesco Russo,contemporary,high,contemporary_high
Freedomday,contemporary,medium,contemporary_medium
Frenzlauer,contemporary,medium,contemporary_medium
FTC,contemporary,high,contemporary_high
Furla,contemporary,medium,contemporary_medium
Ganni,contemporary,medium,contemporary_medium
GCDS,contemporary-fashion,medium,contemporary-fashion_medium
Gedebe,contemporary,medium,contemporary_medium
Ghoud,contemporary,medium,contemporary_medium
Giambattista Valli,contemporary-fashion,high+,contemporary-fashion_high+
Gianantonio Paladini,contemporary,low,contemporary_low
Gianvito Rossi,contemporary,high+,contemporary_high+
Giorgio Armani,classic,high+,classic_high+
Giuseppe di Morabito,contemporary-fashion,high+,contemporary-fashion_high+
Giuseppe Zanotti Design,contemporary,high,contemporary_high
Givenchy,contemporary,high,contemporary_high
Golden Goose Deluxe Brand,contemporary,high,contemporary_high
Gran Sasso,contemporary,low,contemporary_low
Gucci,contemporary,high+,contemporary_high+
Haight.,contemporary-fashion,high,contemporary-fashion_high
Haikure,contemporary-fashion,medium,contemporary-fashion_medium
Halfboy,contemporary-fashion,medium,contemporary-fashion_medium
Hanka_in,contemporary,medium,contemporary_medium
Harris Wharf London,contemporary,medium,contemporary_medium
Headoniste,contemporary,high,contemporary_high
Heliot Emil,contemporary-fashion,medium,contemporary-fashion_medium
Helmut Lang,contemporary-fashion,high,contemporary-fashion_high
Hereu,contemporary,medium,contemporary_medium
Herno,contemporary,medium,contemporary_medium
Heroine Sport,contemporary,medium,contemporary_medium
Heron Preston,contemporary,high,contemporary_high
Hetrego,contemporary,high,contemporary_high
Hidnander,contemporary,medium,contemporary_medium
HINNOMINATE,contemporary,medium,contemporary_medium
Homers At Home,classic,high,classic_high
HUGO,contemporary,medium,contemporary_medium
Hypso,contemporary,medium,contemporary_medium
Iceberg,contemporary,medium,contemporary_medium
Icon Denim LA,contemporary,medium,contemporary_medium
In the mood for love,contemporary,medium,contemporary_medium
INUIKII,contemporary,medium,contemporary_medium
Inverni,contemporary,medium,contemporary_medium
Iro,contemporary,high,contemporary_high
Isabel Benenato,contemporary-fashion,high,contemporary-fashion_high
Isabel Marant,contemporary-fashion,high,contemporary-fashion_high
Ivy Oak,contemporary,medium,contemporary_medium
Jacob Cohen,contemporary,high,contemporary_high
Jacob Lee,contemporary-fashion,high,contemporary-fashion_high
Jacquemus,contemporary-fashion,medium,contemporary-fashion_medium
James Perse,contemporary-fashion,medium,contemporary-fashion_medium
Jean Paul Gaultier,contemporary-fashion,medium,contemporary-fashion_medium
Jil Sander,fashion,high+,fashion_high+
Jimmy Choo,contemporary,high+,contemporary_high+
John Elliott,contemporary,high,contemporary_high
Joshua Sanders,contemporary-fashion,medium,contemporary-fashion_medium
Juun.J,contemporary-fashion,high,contemporary-fashion_high
JW Anderson,contemporary-fashion,high,contemporary-fashion_high
K-Way,contemporary,medium,contemporary_medium
KALITA,contemporary,medium,contemporary_medium
Kasia Kulenty,contemporary,high,contemporary_high
Kenzo,contemporary,medium,contemporary_medium
Khaite,fashion,high+,fashion_high+
Khrisjoy,contemporary-fashion,high,contemporary-fashion_high
Kika Vargas,contemporary-fashion,high,contemporary-fashion_high
Kiki de Montparnasse,contemporary,high,contemporary_high
Kiton,classic,high+,classic_high+
Kleed Loungewear,contemporary,high,contemporary_high
Ksubi,contemporary-fashion,medium,contemporary-fashion_medium
L'Alingi,contemporary,medium,contemporary_medium
La Perla,contemporary,high+,contemporary_high+
La Petite Robe Di Chiara Boni,contemporary,medium,contemporary_medium
La Prestic Ouiston,contemporary,high,contemporary_high
Lancel,contemporary,medium,contemporary_medium
Laneus,contemporary,high,contemporary_high
Lanvin,contemporary-fashion,high,contemporary-fashion_high
Le Kasha,other,other,other
Le Monde Beryl,contemporary,high,contemporary_high
Le Silla,contemporary,high,contemporary_high
LE17SEPTEMBRE,contemporary,medium,contemporary_medium
Lemon Jelly,other,other,other
Lempelius,contemporary,medium,contemporary_medium
Leonard Paris,classic,high,classic_high
Lila Eugenie,classic,high,classic_high
Lisa Marie Fernandez,other,other,other
Liu Jo,contemporary,medium,contemporary_medium
Lorena Antoniazzi,contemporary,high,contemporary_high
Loro Piana,classic,high+,classic_high+
LouLou,other,other,other
Loulou Studio,contemporary-fashion,high,contemporary-fashion_high
Love Stories,contemporary,medium,contemporary_medium
Low Classic,contemporary,high,contemporary_high
Lug Von Siga,other,other,other
Luv Aj,contemporary,medium,contemporary_medium
LVIR,contemporary,medium,contemporary_medium
M05CH1NO Jeans,contemporary,medium,contemporary_medium
Mach & Mach,contemporary-fashion,high,contemporary-fashion_high
Magda Butrym,contemporary-fashion,high,contemporary-fashion_high
Maison Margiela,fashion,high+,fashion_high+
Manebi,contemporary,medium,contemporary_medium
Manokhi,contemporary,high,contemporary_high
manzoni24,classic,high,classic_high
MARC JACOBS (THE),contemporary,medium,contemporary_medium
Marina Rinaldi,contemporary,low,contemporary_low
Marni,contemporary-fashion,high,contemporary-fashion_high
Marsell,contemporary-fashion,high,contemporary-fashion_high
Marysia,contemporary,high,contemporary_high
Mattia Capezzani,contemporary,high,contemporary_high
Maurizio,contemporary,high,contemporary_high
Max Mara,contemporary,high,contemporary_high
Max&Moi,contemporary,high,contemporary_high
MC2 Saint Barth,contemporary,high,contemporary_high
Melissa Odabash,contemporary,medium,contemporary_medium
MICHAEL Michael Kors,contemporary,medium,contemporary_medium
Miista,contemporary,medium,contemporary_medium
Missoni,contemporary,high,contemporary_high
MissoniHome,classic,high,classic_high
Mlouye,contemporary,medium,contemporary_medium
MM6,contemporary-fashion,medium,contemporary-fashion_medium
Moncler,contemporary,high,contemporary_high
Monot,contemporary,high,contemporary_high
Moorer,classic,high,classic_high
MORDECAI,contemporary-fashion,high,contemporary-fashion_high
More Noir,other,other,other
Morpho&Luna,contemporary,high,contemporary_high
Moschino,contemporary,high,contemporary_high
Mother,contemporary,high,contemporary_high
MPD BOX,other,other,other
MRZ,contemporary,high,contemporary_high
MSGM,contemporary,high,contemporary_high
Mugler,contemporary-fashion,high,contemporary-fashion_high
MUST,classic,high+,classic_high+
N21,contemporary,high,contemporary_high
Nackiye,contemporary,high,contemporary_high
Naked Wolfe,contemporary,medium,contemporary_medium
Nannacay,other,other,other
Nanushka,contemporary,high,contemporary_high
NATAYAKIM,contemporary,high,contemporary_high
Nensi Dojaka,contemporary-fashion,high,contemporary-fashion_high
Neous,contemporary-fashion,high,contemporary-fashion_high
Nili Lotan,contemporary-fashion,high,contemporary-fashion_high
Nina Ricci,contemporary,high,contemporary_high
Norveg,contemporary,medium,contemporary_medium
Not Shy,contemporary,medium,contemporary_medium
Notsonormal,contemporary,high,contemporary_high
Numbering,contemporary,high,contemporary_high
ODISSI,contemporary,high,contemporary_high
Off-White,contemporary,high,contemporary_high
Oneteaspoon,contemporary,medium,contemporary_medium
OSEREE,contemporary,high,contemporary_high
P.A.R.O.S.H.,contemporary,high,contemporary_high
Paige,contemporary,high,contemporary_high
Palm Angels,contemporary,high,contemporary_high
PALM NOOSA,contemporary,high,contemporary_high
PANGAIA,contemporary,medium,contemporary_medium
Panicale,contemporary,low,contemporary_low
Pantanetti,classic,high,classic_high
Parajumpers,contemporary,medium,contemporary_medium
Paramidonna,contemporary,medium,contemporary_medium
Paris Texas,contemporary-fashion,high,contemporary-fashion_high
Pasotti Ombrelli,classic,high,classic_high
Paul Andrew,contemporary,high,contemporary_high
Pearl Octopuss.y,contemporary-fashion,medium,contemporary-fashion_medium
PEARL&CAVIAR,contemporary,medium,contemporary_medium
Pence,contemporary,medium,contemporary_medium
Perfect Moment,contemporary,high,contemporary_high
Petar Petrov,contemporary-fashion,high,contemporary-fashion_high
Pharmacy Industry,contemporary,medium,contemporary_medium
Philosophy di Lorenzo Serafini,contemporary,high,contemporary_high
