brand_title,men_style,men_price,men_segment
Historic,other,other,other
Hogan,contemporary,medium,contemporary_medium
Homers At Home,classic,high,classic_high
HUGO,contemporary,low,contemporary_low
Ice Play,other,other,other
Iceberg,contemporary,medium,contemporary_medium
Icon Denim LA,contemporary,medium,contemporary_medium
Il Borgo Cashmere,classic,high,classic_high
Inlinum,contemporary,medium,contemporary_medium
INUIKII,contemporary,medium,contemporary_medium
Inverni,contemporary,medium,contemporary_medium
Isabel Benenato,contemporary-fashion,high,contemporary-fashion_high
Jacob Cohen,contemporary,high,contemporary_high
Jacob Lee,contemporary-fashion,high,contemporary-fashion_high
Jacquemus,contemporary-fashion,medium,contemporary-fashion_medium
James Perse,contemporary-fashion,medium,contemporary-fashion_medium
Jil Sander,contemporary-fashion,high+,contemporary-fashion_high+
Jimmy Choo,contemporary-fashion,high,contemporary-fashion_high
Juun.J,contemporary,high,contemporary_high
K-Way,contemporary-fashion,medium,contemporary-fashion_medium
Kangra,classic,high,classic_high
Kenzo,contemporary,medium,contemporary_medium
Khrisjoy,contemporary-fashion,high,contemporary-fashion_high
Kired,classic,high,classic_high
Kiton,contemporary,high+,contemporary_high+
Ksubi,contemporary-fashion,medium,contemporary-fashion_medium
L.B.M. 1911,classic,high,classic_high
La Martina,contemporary,medium,contemporary_medium
Lancel,contemporary,medium,contemporary_medium
Laneus,contemporary,high,contemporary_high
Lanvin,contemporary-fashion,high,contemporary-fashion_high
Lardini,classic,high,classic_high
Les Benjamins,other,other,other
Limitato,contemporary-fashion,medium,contemporary-fashion_medium
Loro Piana,classic,high+,classic_high+
Luigi Bianchi,classic,high,classic_high
Luigi Borrelli,classic,high,classic_high
Magnanni,classic,high,classic_high
Maharishi,contemporary-fashion,medium,contemporary-fashion_medium
Maison Margiela,fashion,high+,fashion_high+
malo,contemporary,low,contemporary_low
Manebi,contemporary,medium,contemporary_medium
Marco Pescarolo,contemporary,high,contemporary_high
Marni,contemporary-fashion,high,contemporary-fashion_high
Marsell,contemporary-fashion,high,contemporary-fashion_high
Martine Rose,contemporary-fashion,high,contemporary-fashion_high
Mattia Capezzani,contemporary,medium,contemporary_medium
MC2 Saint Barth,contemporary,high,contemporary_high
Members of the rage,contemporary-fashion,high,contemporary-fashion_high
Mille 885,contemporary,high,contemporary_high
MIRA,other,other,other
Missoni,contemporary,high,contemporary_high
MM6,contemporary-fashion,medium,contemporary-fashion_medium
Moma,contemporary,high,contemporary_high
Moncler,contemporary-fashion,high,contemporary-fashion_high
Montecore,contemporary,medium,contemporary_medium
Moorer,classic,high,classic_high
MORDECAI,contemporary-fashion,high,contemporary-fashion_high
Moschino,contemporary-fashion,medium,contemporary-fashion_medium
Mostly Heard Rarely Seen,contemporary-fashion,high,contemporary-fashion_high
MSGM,contemporary,high,contemporary_high
MUST,contemporary,high+,contemporary_high+
N21,contemporary-fashion,high,contemporary-fashion_high
Naked Wolfe,contemporary,medium,contemporary_medium
Nanushka,contemporary-fashion,high,contemporary-fashion_high
Neil Barrett,contemporary,high,contemporary_high
Never Enough,contemporary,medium,contemporary_medium
Nick Fouquet,other,other,other
Norveg,contemporary,medium,contemporary_medium
Notsonormal,contemporary,high,contemporary_high
Nude of Scandinavia,other,other,other
